type,brand,model,socket,form_factor,ram_slots,max_ram,color,price,mb_ddr,mb_ddr_source
Motherboard,Asus,PRIME B250M-K,LGA1151,Micro ATX,2,32000000000,Black / Silver,0.0,DDR4,socket_rule
Motherboard,Asus,PRIME B250M-PLUS,LGA1151,Micro ATX,4,64000000000,Black / Red,0.0,DDR4,socket_rule
Motherboard,Asus,PRIME B350-PLUS,AM4,ATX,4,64000000000,Black / Red,189.99,DDR4,socket_rule
Motherboard,Asus,PRIME B350M-A,AM4,Micro ATX,4,64000000000,Black / Silver,0.0,DDR4,socket_rule
Motherboard,Asus,PRIME B350M-A/CSM,AM4,Micro ATX,4,64000000000,Black / Silver,0.0,DDR4,socket_rule
Motherboard,Asus,PRIME B350M-E,AM4,Micro ATX,2,32000000000,Black / Red,0.0,DDR4,socket_rule
Motherboard,Asus,PRIME B350M-K,AM4,Micro ATX,2,32000000000,Black / Silver,0.0,DDR4,socket_rule
Motherboard,Asus,PRIME B360M-A,LGA1151,Micro ATX,4,64000000000,Silver / Black,69.0,DDR4,socket_rule
Motherboard,Asus,PRIME B360M-C/CSM,LGA1151,Micro ATX,4,64000000000,Green / Black,85.0,DDR4,socket_rule
Motherboard,Asus,PRIME B360M-K,LGA1151,Micro ATX,2,32000000000,Black / Silver,0.0,DDR4,socket_rule
Motherboard,Asus,PRIME B365M-A,LGA1151,Micro ATX,4,64000000000,Black / Silver,67.98,DDR4,socket_rule
Motherboard,Asus,PRIME B365M-K,LGA1151,Micro ATX,2,32000000000,Black / Silver,0.0,DDR4,socket_rule
Motherboard,Asus,PRIME B450-PLUS,AM4,ATX,4,64000000000,Black / Silver,138.29,DDR4,socket_rule
Motherboard,Asus,PRIME B450M-A,AM4,Micro ATX,4,64000000000,Black,106.99,DDR4,socket_rule
Motherboard,Asus,PRIME B450M-A/CSM,AM4,Micro ATX,4,64000000000,Black / Silver,77.99,DDR4,socket_rule
Motherboard,Asus,PRIME B450M-K,AM4,Micro ATX,2,32000000000,Black,117.88,DDR4,socket_rule
Motherboard,Asus,PRIME B460-PLUS,LGA1200,ATX,4,128000000000,Silver / Black,116.0,DDR4,socket_rule
Motherboard,Asus,PRIME B460I-PLUS,LGA1200,Mini ITX,2,64000000000,Silver / Black,0.0,DDR4,socket_rule
Motherboard,Asus,PRIME B460M-A,LGA1200,Micro ATX,4,128000000000,Silver / Black,0.0,DDR4,socket_rule
Motherboard,Asus,PRIME B460M-K,LGA1200,Micro ATX,2,64000000000,Silver / Black,120.63,DDR4,socket_rule
Motherboard,Asus,PRIME B550-PLUS,AM4,ATX,4,128000000000,Black / White,148.99,DDR4,socket_rule
Motherboard,Asus,PRIME B550M-A,AM4,Micro ATX,4,128000000000,Black / White,0.0,DDR4,socket_rule
Motherboard,Asus,PRIME B550M-A (WI-FI),AM4,Micro ATX,4,128000000000,Black / White,127.99,DDR4,socket_rule
Motherboard,Asus,PRIME B550M-A/CSM,AM4,Micro ATX,4,128000000000,Black / White,115.99,DDR4,socket_rule
Motherboard,Asus,PRIME B550M-K,AM4,Micro ATX,4,128000000000,Black / White,109.99,DDR4,socket_rule
Motherboard,Asus,PRIME H270-PLUS-CSM,LGA1151,ATX,4,64000000000,Black / Silver,385.21,DDR4,socket_rule
Motherboard,Asus,PRIME H270-PRO,LGA1151,ATX,4,64000000000,Black / Silver,0.0,DDR4,socket_rule
Motherboard,Asus,PRIME H270M PLUS CSM,LGA1151,Micro ATX,4,64000000000,Black,0.0,DDR4,socket_rule
Motherboard,Asus,PRIME H270M-PLUS,LGA1151,Micro ATX,4,64000000000,Black / Silver,0.0,DDR4,socket_rule
Motherboard,Asus,PRIME H310-PLUS,LGA1151,ATX,2,32000000000,Black,0.0,DDR4,socket_rule
Motherboard,Asus,PRIME H310I-PLUS/CSM,LGA1151,Mini ITX,2,32000000000,Black / Gray,0.0,DDR4,socket_rule
Motherboard,Asus,PRIME H310M-A,LGA1151,Micro ATX,2,32000000000,Silver / Black,94.16,DDR4,socket_rule
Motherboard,Asus,PRIME H310M-A R2.0,LGA1151,Micro ATX,2,32000000000,Black,122.0,DDR4,socket_rule
Motherboard,Asus,PRIME H310M-C/CSM,LGA1151,Micro ATX,2,32000000000,Green / Black,0.0,DDR4,socket_rule
Motherboard,Asus,PRIME H310M-D,LGA1151,Micro ATX,2,32000000000,Silver / Black,0.0,DDR4,socket_rule
Motherboard,Asus,PRIME H310M-E,LGA1151,Micro ATX,2,32000000000,Silver / Black,210.11,DDR4,socket_rule
Motherboard,Asus,PRIME H310M-E R2.0,LGA1151,Micro ATX,2,32000000000,Black,58.99,DDR4,socket_rule
Motherboard,Asus,PRIME H310M-K,LGA1151,Micro ATX,2,32000000000,Black / Silver,0.0,DDR4,socket_rule
Motherboard,Asus,PRIME H310M-K R2.0,LGA1151,Micro ATX,2,32000000000,Black,0.0,DDR4,socket_rule
Motherboard,Asus,PRIME H410M-A,LGA1200,Micro ATX,2,64000000000,Black,0.0,DDR4,socket_rule
Motherboard,Asus,PRIME H410M-A/CSM,LGA1200,Micro ATX,2,64000000000,Black,79.99,DDR4,socket_rule
Motherboard,Asus,PRIME H410M-D,LGA1200,Micro ATX,2,64000000000,Black,0.0,DDR4,socket_rule
Motherboard,Asus,PRIME H410M-E,LGA1200,Micro ATX,2,64000000000,Black,81.69,DDR4,socket_rule
Motherboard,Asus,PRIME H410M-K,LGA1200,Micro ATX,2,64000000000,Black,142.81,DDR4,socket_rule
Motherboard,Asus,PRIME H470M-PLUS/CSM,LGA1200,Micro ATX,4,128000000000,Black / Silver,109.99,DDR4,socket_rule
Motherboard,Asus,PRIME Q270M-C,LGA1151,Micro ATX,4,64000000000,Green / Black,0.0,DDR4,socket_rule
Motherboard,Asus,PRIME Q370M-C/CSM,LGA1151,Micro ATX,4,64000000000,Green / Black,155.72,DDR4,socket_rule
Motherboard,Asus,PRIME X299-A,LGA2066,ATX,8,128000000000,Black / Silver,0.0,Unknown,insufficient_info
Motherboard,Asus,PRIME X299-DELUXE,LGA2066,ATX,8,128000000000,Black / Silver,0.0,Unknown,insufficient_info
Motherboard,Asus,PRIME X370-A,AM4,ATX,4,64000000000,Black / Red,0.0,DDR4,socket_rule
Motherboard,Asus,PRIME X370-PRO,AM4,ATX,4,64000000000,Black / White,169.95,DDR4,socket_rule
Motherboard,Asus,PRIME X399-A,sTR4,EATX,8,128000000000,Black / Silver,0.0,Unknown,insufficient_info
Motherboard,Asus,PRIME X570-P,AM4,ATX,4,128000000000,Black / White,0.0,DDR4,socket_rule
Motherboard,Asus,PRIME X570-P/CSM,AM4,ATX,4,128000000000,Black / Silver,0.0,DDR4,socket_rule
Motherboard,Asus,PRIME X570-PRO,AM4,ATX,4,128000000000,Black / White,249.99,DDR4,socket_rule
